"","qtr1","qtr2","qtr3","qtr4"
"10001",9077,9660,10280,10940
"10002",9076,9659,10280,10940
"10003",9082,9671,10300,10970
"10004",9084,9676,10310,10980
"10005",9079,9664,10290,10950
"10006",9080,9666,10290,10960
"10007",9079,9665,10290,10950
"10008",9079,9665,10290,10950
"10009",9081,9669,10300,10960
"10010",9077,9661,10280,10940
"10011",9082,9672,10300,10970
"10012",9081,9670,10300,10960
"10013",9075,9656,10270,10930
"10014",9078,9664,10290,10950
"10015",9082,9672,10300,10970
"10016",9077,9660,10280,10940
"10017",9079,9665,10290,10950
"10018",9080,9666,10290,10960
"10019",9080,9667,10290,10960
"10020",9079,9665,10290,10950
"10021",9075,9657,10280,10930
"10022",9081,9669,10300,10960
"10023",9081,9669,10300,10960
"10024",9076,9658,10280,10940
"10025",9085,9678,10310,10980
"10026",9081,9668,10290,10960
"10027",9079,9665,10290,10950
"10028",9081,9670,10300,10960
"10029",9077,9661,10280,10940
"10030",9080,9668,10290,10960
"10031",9081,9670,10300,10960
"10032",9079,9665,10290,10950
"10033",9075,9657,10280,10940
"10034",9075,9656,10270,10930
"10035",9080,9668,10290,10960
"10036",9081,9670,10300,10960
"10037",9079,9665,10290,10950
"10038",9084,9675,10310,10980
"10039",9082,9672,10300,10970
"10040",9081,9670,10300,10960
"10041",9081,9670,10300,10960
"10042",9081,9669,10290,10960
"10043",9082,9672,10300,10970
"10044",9077,9661,10280,10940
"10045",9082,9671,10300,10970
"10046",9075,9656,10270,10930
"10047",9075,9658,10280,10940
"10048",9079,9666,10290,10960
"10049",9079,9665,10290,10950
"10050",9078,9662,10280,10950
"10051",9081,9669,10290,10960
"10052",9084,9675,10300,10970
"10053",9077,9661,10280,10940
"10054",9079,9665,10290,10950
"10055",9078,9662,10280,10950
"10056",9081,9669,10290,10960
"10057",9082,9671,10300,10970
"10058",9084,9675,10300,10980
"10059",9080,9668,10290,10960
"10060",9080,9667,10290,10960
"10061",9081,9668,10290,10960
"10062",9079,9665,10290,10950
"10063",9084,9676,10310,10980
"10064",9075,9657,10280,10930
