,x
10001,5.23E-07
10002,4.75E-07
10003,5.36E-07
10004,7.31E-09
10005,7.68E-09
10006,8.46E-09
10007,4.48E-07
10008,5.16E-07
10009,5.07E-07
10010,5.41E-07
10011,5.43E-07
10012,5.26E-07
10013,4.98E-07
10014,4.85E-07
10015,4.98E-07
10016,4.98E-07
10017,4.97E-07
10018,4.93E-07
10019,5.05E-07
10020,5.14E-07
10021,5.23E-07
10022,4.80E-07
10023,5.00E-07
10024,4.79E-07
10025,5.27E-07
10026,5.04E-07
10027,5.01E-07
10028,5.07E-07
10029,5.25E-07
10030,5.03E-07
10031,5.38E-07
10032,5.18E-07
10033,5.16E-07
10034,4.67E-07
10035,5.11E-07
10036,4.97E-07
10037,5.13E-07
10038,5.09E-07
10039,5.25E-07
10040,5.36E-07
10041,5.12E-07
10042,5.29E-07
10043,5.08E-07
10044,6.00E-07
10045,5.34E-07
10046,4.89E-07
10047,5.15E-07
10048,5.09E-07
10049,4.78E-07
10050,5.30E-07
10051,5.02E-07
10052,5.13E-07
10053,4.62E-07
10054,5.04E-07
10055,5.43E-07
10056,5.37E-07
10057,5.27E-07
10058,5.58E-07
10059,5.33E-07
10060,5.23E-07
10061,4.56E-07
10062,5.87E-07
10063,5.43E-07
10064,4.77E-07
10065,5.30E-07
10066,5.39E-07
10067,4.90E-07
10068,5.56E-07
10069,5.02E-07
10070,4.58E-07
10071,5.20E-07
10072,5.04E-07
10073,5.01E-07
10074,5.90E-07
10075,5.75E-07
10076,5.34E-07
10077,4.95E-07
10078,5.03E-07
10079,5.10E-07
10080,4.99E-07
10081,5.28E-07
10082,4.70E-07
10083,4.90E-07
10084,5.75E-07
10085,4.93E-07
10086,4.99E-07
10087,4.93E-07
10088,5.01E-07
10089,5.06E-07
10090,5.63E-07
10091,4.67E-07
10092,5.17E-07
10093,5.85E-07
10094,5.36E-07
10095,5.33E-07
10096,5.03E-07
10097,5.35E-07
10098,5.20E-07
10099,5.26E-07
10100,5.39E-07
10101,5.08E-07
10102,5.43E-07
10103,5.25E-07
10104,4.87E-07
10105,5.09E-07
10106,5.58E-07
10107,4.96E-07
10108,5.29E-07
10109,5.26E-07
10110,5.25E-07
10111,5.53E-07
10112,5.05E-07
10113,5.16E-07
10114,4.68E-07
10115,4.98E-07
10116,5.46E-07
10117,5.30E-07
10118,5.03E-07
10119,5.10E-07
10120,4.98E-07
10121,4.73E-07
10122,5.32E-07
10123,5.03E-07
10124,4.80E-07
10125,5.08E-07
10126,5.37E-07
10127,5.16E-07
10128,5.07E-07
10129,5.28E-07
10130,4.99E-07
10131,4.61E-07
10132,4.81E-07
10133,5.12E-07
10134,4.97E-07
10135,5.22E-07
10136,5.21E-07
10137,5.08E-07
10138,5.12E-07
10139,5.29E-07
10140,5.01E-07
10141,5.36E-07
10142,5.22E-07
10143,5.03E-07
10144,5.84E-07
10145,5.62E-07
10146,6.12E-07
10147,5.23E-07
10148,5.10E-07
10149,5.43E-07
10150,5.48E-07
10151,5.84E-07
10152,4.93E-07
10153,5.25E-07
10154,5.27E-07
10155,5.27E-07
10156,5.12E-07
10157,5.39E-07
10158,5.10E-07
10159,5.30E-07
10160,5.17E-07
10161,4.99E-07
10162,5.00E-07
10163,5.31E-07
10164,5.27E-07
10165,5.02E-07
10166,5.78E-07
10167,4.88E-07
10168,5.28E-07
10169,5.52E-07
10170,4.82E-07
10171,5.68E-07
10172,4.90E-07
10173,5.36E-07
10174,5.23E-07
10175,5.16E-07
10176,5.05E-07
10177,5.06E-07
10178,5.47E-07
10179,5.09E-07
10180,5.31E-07
10181,5.49E-07
10182,5.17E-07
10183,4.87E-07
10184,5.36E-07
10185,4.89E-07
10186,5.01E-07
10187,5.47E-07
10188,5.12E-07
10189,5.42E-07
10190,5.15E-07
10191,5.22E-07
10192,5.06E-07
10193,5.03E-07
10194,5.26E-07
10195,5.29E-07
10196,4.84E-07
10197,5.26E-07
10198,4.91E-07
10199,5.09E-07
10200,5.33E-07
10201,5.53E-07
10202,4.78E-07
10203,5.24E-07
10204,5.23E-07
10205,4.91E-07
10206,5.15E-07
10207,5.13E-07
10208,5.41E-07
10209,5.02E-07
10210,4.77E-07
10211,5.01E-07
10212,5.18E-07
10213,5.15E-07
10214,5.01E-07
10215,4.97E-07
10216,5.38E-07
10217,4.82E-07
10218,5.05E-07
10219,5.09E-07
10220,5.10E-07
10221,5.02E-07
10222,5.17E-07
10223,5.25E-07
10224,5.03E-07
10225,5.48E-07
10226,4.91E-07
10227,5.32E-07
10228,5.38E-07
10229,4.98E-07
10230,4.95E-07
10231,5.24E-07
10232,5.06E-07
10233,4.83E-07
10234,4.95E-07
10235,5.35E-07
10236,5.10E-07
10237,5.31E-07
10238,5.10E-07
10239,5.04E-07
10240,4.90E-07
10241,5.08E-07
10242,5.18E-07
10243,4.96E-07
10244,5.14E-07
10245,5.39E-07
10246,5.06E-07
10247,4.98E-07
10248,5.05E-07
10249,5.49E-07
10250,5.11E-07
10251,5.12E-07
10252,5.23E-07
10253,5.17E-07
10254,4.87E-07
10255,5.27E-07
10256,4.97E-07
10257,5.13E-07
10258,5.12E-07
10259,5.16E-07
10260,5.03E-07
10261,5.14E-07
10262,5.28E-07
10263,5.15E-07
10264,5.17E-07
10265,5.07E-07
10266,5.02E-07
10267,5.36E-07
10268,5.26E-07
10269,5.45E-07
10270,5.26E-07
10271,5.35E-07
10272,5.37E-07
10273,5.83E-07
10274,5.89E-07
10275,5.28E-07
10276,4.48E-07
10277,5.43E-07
10278,5.08E-07
10279,5.51E-07
10280,4.93E-07
10281,5.43E-07
10282,5.00E-07
10283,5.18E-07
10284,5.06E-07
10285,5.13E-07
10286,5.09E-07
10287,5.33E-07
10288,5.26E-07
10289,4.83E-07
10290,4.91E-07
10291,5.14E-07
10292,4.89E-07
10293,4.93E-07
10294,4.90E-07
10295,4.94E-07
10296,5.06E-07
10297,5.00E-07
10298,5.35E-07
10299,4.89E-07
10300,5.75E-07
10301,5.31E-07
10302,5.00E-07
10303,5.04E-07
10304,5.30E-07
10305,5.41E-07
10306,5.53E-07
10307,5.34E-07
10308,5.14E-07
10309,5.23E-07
10310,5.20E-07
10311,5.44E-07
10312,4.93E-07
10313,5.38E-07
10314,4.96E-07
10315,4.89E-07
10316,5.15E-07
10317,4.95E-07
10318,5.21E-07
10319,5.76E-07
10320,5.34E-07
10321,4.92E-07
10322,5.16E-07
10323,4.90E-07
10324,5.07E-07
10325,5.35E-07
10326,5.49E-07
10327,4.88E-07
10328,4.94E-07
10329,5.35E-07
10330,4.81E-07
10331,4.86E-07
10332,5.25E-07
10333,4.93E-07
10334,5.43E-07
10335,5.09E-07
10336,5.11E-07
10337,5.25E-07
10338,5.45E-07
10339,5.47E-07
10340,5.57E-07
10341,5.08E-07
10342,4.91E-07
10343,5.12E-07
10344,4.95E-07
10345,4.86E-07
10346,5.35E-07
10347,5.82E-07
10348,5.42E-07
10349,5.20E-07
10350,5.28E-07
10351,5.01E-07
10352,5.09E-07
10353,5.50E-07
10354,5.22E-07
10355,5.30E-07
10356,5.56E-07
10357,5.31E-07
10358,5.16E-07
10359,5.02E-07
10360,5.05E-07
10361,5.15E-07
10362,5.43E-07
10363,4.93E-07
10364,5.25E-07
10365,5.32E-07
10366,5.58E-07
10367,5.25E-07
10368,5.12E-07
10369,5.20E-07
10370,5.06E-07
10371,5.05E-07
10372,5.03E-07
10373,4.68E-07
10374,5.19E-07
10375,5.09E-07
10376,4.95E-07
10377,5.01E-07
10378,5.47E-07
10379,5.04E-07
10380,5.41E-07
10381,5.05E-07
10382,5.69E-07
10383,4.69E-07
10384,4.77E-07
10385,5.45E-07
10386,4.86E-07
10387,5.39E-07
10388,5.13E-07
10389,4.88E-07
10390,5.11E-07
10391,5.30E-07
10392,4.97E-07
10393,5.12E-07
10394,5.18E-07
10395,5.19E-07
10396,5.47E-07
10397,5.35E-07
10398,5.02E-07
10399,4.94E-07
10400,5.18E-07
10401,4.81E-07
10402,4.76E-07
10403,5.40E-07
10404,5.16E-07
10405,5.50E-07
10406,4.89E-07
10407,5.18E-07
10408,5.27E-07
10409,5.52E-07
10410,5.49E-07
10411,5.47E-07
10412,5.36E-07
10413,4.75E-07
10414,5.69E-07
10415,5.21E-07
10416,5.24E-07
10417,5.50E-07
10418,5.35E-07
10419,5.93E-07
10420,5.33E-07
10421,5.52E-07
10422,5.19E-07
10423,4.99E-07
10424,4.97E-07
10425,5.10E-07
10426,4.96E-07
10427,5.01E-07
10428,5.07E-07
10429,5.17E-07
10430,4.92E-07
10431,5.21E-07
10432,5.43E-07
10433,5.09E-07
10434,5.48E-07
10435,5.46E-07
10436,4.99E-07
10437,5.33E-07
10438,5.05E-07
10439,4.80E-07
10440,5.35E-07
10441,5.53E-07
10442,5.19E-07
10443,5.37E-07
10444,5.00E-07
10445,5.22E-07
10446,5.13E-07
10447,5.10E-07
10448,5.35E-07
10449,4.94E-07
10450,5.19E-07
10451,4.92E-07
10452,5.41E-07
10453,4.77E-07
10454,5.02E-07
10455,5.23E-07
10456,5.16E-07
10457,5.36E-07
10458,5.80E-07
10459,4.90E-07
10460,5.42E-07
